date,frm,risk_level,risk
2006-01-03,0.015359,61.03,3. Elevated risk
2006-01-04,0.01571,63.24,3. Elevated risk
2006-01-05,0.0169,67.71,3. Elevated risk
2006-01-06,0.01527,60.64,3. Elevated risk
2006-01-09,0.015116,59.72,3. Elevated risk
2006-01-10,0.015178,60.08,3. Elevated risk
2006-01-11,0.015419,61.56,3. Elevated risk
2006-01-12,0.016502,66.23,3. Elevated risk
2006-01-13,0.018842,72.93,4. High risk
2006-01-16,0.018356,71.89,4. High risk
2006-01-17,0.019692,75.56,4. High risk
2006-01-18,0.021662,80.47,4. High risk
2006-01-19,0.021057,79.13,4. High risk
2006-01-20,0.020854,78.4,4. High risk
2006-01-23,0.021798,80.76,4. High risk
2006-01-24,0.019331,74.47,4. High risk
2006-01-25,0.021144,79.4,4. High risk
2006-01-26,0.020586,77.94,4. High risk
2006-01-27,0.020425,77.55,4. High risk
2006-01-30,0.021814,80.78,4. High risk
2006-01-31,0.020192,77.02,4. High risk
2006-02-01,0.022629,82.22,4. High risk
2006-02-02,0.024209,84.82,4. High risk
2006-02-03,0.023108,83.02,4. High risk
2006-02-06,0.021014,78.94,4. High risk
2006-02-07,0.019761,75.83,4. High risk
2006-02-08,0.023167,83.21,4. High risk
2006-02-09,0.020686,78.11,4. High risk
2006-02-10,0.019848,76.04,4. High risk
2006-02-13,0.01947,74.68,4. High risk
2006-02-14,0.020728,78.13,4. High risk
2006-02-15,0.019636,75.41,4. High risk
2006-02-16,0.021846,80.81,4. High risk
2006-02-17,0.020863,78.43,4. High risk
2006-02-20,0.020033,76.63,4. High risk
2006-02-21,0.019856,76.07,4. High risk
2006-02-22,0.020385,77.28,4. High risk
2006-02-23,0.020416,77.45,4. High risk
2006-02-24,0.019045,73.59,4. High risk
2006-02-27,0.021642,80.37,4. High risk
2006-02-28,0.019284,74.37,4. High risk
2006-03-01,0.01959,75.19,4. High risk
2006-03-02,0.01927,74.22,4. High risk
2006-03-03,0.021028,78.98,4. High risk
2006-03-06,0.021583,80.2,4. High risk
2006-03-07,0.021254,79.57,4. High risk
2006-03-08,0.02301,82.85,4. High risk
2006-03-09,0.022524,81.92,4. High risk
2006-03-10,0.02385,84.4,4. High risk
2006-03-13,0.021893,80.9,4. High risk
2006-03-14,0.021503,80.1,4. High risk
2006-03-15,0.021501,80.08,4. High risk
2006-03-16,0.020201,77.04,4. High risk
2006-03-17,0.018225,71.48,4. High risk
2006-03-20,0.023059,82.92,4. High risk
2006-03-21,0.019735,75.78,4. High risk
2006-03-22,0.020295,77.19,4. High risk
2006-03-23,0.019493,74.81,4. High risk
2006-03-24,0.019274,74.32,4. High risk
2006-03-27,0.018936,73.25,4. High risk
2006-03-28,0.020092,76.82,4. High risk
2006-03-29,0.020042,76.72,4. High risk
2006-03-30,0.021098,79.23,4. High risk
2006-03-31,0.02101,78.91,4. High risk
2006-04-03,0.018877,73.06,4. High risk
2006-04-04,0.019552,75.05,4. High risk
2006-04-05,0.021317,79.81,4. High risk
2006-04-06,0.024057,84.57,4. High risk
2006-04-07,0.020652,77.99,4. High risk
2006-04-10,0.018854,72.96,4. High risk
2006-04-11,0.020886,78.47,4. High risk
2006-04-12,0.02235,81.68,4. High risk
2006-04-13,0.019213,74.03,4. High risk
2006-04-14,0.018586,72.3,4. High risk
2006-04-17,0.016879,67.54,3. Elevated risk
2006-04-18,0.017752,70.29,4. High risk
2006-04-19,0.017005,68.1,3. Elevated risk
2006-04-20,0.01671,67.1,3. Elevated risk
2006-04-21,0.0156,62.59,3. Elevated risk
2006-04-25,0.015193,60.18,3. Elevated risk
2006-04-26,0.016458,65.99,3. Elevated risk
2006-04-27,0.015387,61.18,3. Elevated risk
2006-04-28,0.013268,50.53,3. Elevated risk
2006-05-02,0.015096,59.62,3. Elevated risk
2006-05-03,0.015516,62.15,3. Elevated risk
2006-05-04,0.016575,66.55,3. Elevated risk
2006-05-05,0.016351,65.43,3. Elevated risk
2006-05-08,0.016142,64.72,3. Elevated risk
2006-05-09,0.016302,65.33,3. Elevated risk
2006-05-10,0.017269,68.9,3. Elevated risk
2006-05-11,0.016014,64.14,3. Elevated risk
